ISO,name,region_ar6_6_ipcc_fgd,region_ar6_10_ipcc_fgd,region_ar6_22_ipcc_fgd,M49_Hi_M49_Regions,M49_Med__M49_Regions,M49_lo_M49_Regions,Developing_2021_M49_other,SIDS_M49_other,LLDC_M49_other,LDC_M49_other,Annex_I_unfccc,Annex _II_unfccc,WMO,EU,OECD,Income _status_WB,Former Soviet Union
CXR,Christmas Island,Developed Countries,Asia-Pacific Developed,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Territory,,N/A,,,N/A,
CCK,Cocos (Keeling) Islands,Developed Countries,Asia-Pacific Developed,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Territory,,N/A,,,N/A,
HMD,Heard Island and McDonald Islands,Developed Countries,Asia-Pacific Developed,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Territory,,N/A,,,N/A,
JPN,Japan,Developed Countries,Asia-Pacific Developed,Asia-Pacific Developed (others),Asia,Eastern Asia,Eastern Asia,Developed,,,,Annex I,Annex II,II,,OECD,High,
NFK,Norfolk Island,Developed Countries,Asia-Pacific Developed,Asia-Pacific Developed (others),Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Territory,,N/A,,,N/A,
AUS,Australia,Developed Countries,Asia-Pacific Developed,Australia & New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Annex I,Annex II,V,,OECD,High,
NZL,New Zealand,Developed Countries,Asia-Pacific Developed,Australia & New Zealand,Oceania,Australia and New Zealand,Australia and New Zealand,Developed,,,,Annex I,Annex II,V,,OECD,High,
AIA,Anguilla,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,N/A,
ATG,Antigua and Barbuda,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,High,
ABW,Aruba,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
BHS,Bahamas,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,High,
BRB,Barbados,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,High,
BES,"Bonaire, Sint Eustatius and Saba",Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,N/A,
VGB,British Virgin Islands,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
CYM,Cayman Islands,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,High,
CUB,Cuba,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
CUW,Curaçao,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
DMA,Dominica,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
DOM,Dominican Republic,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
GRD,Grenada,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
GLP,Guadeloupe,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,N/A,
HTI,Haiti,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,LDC,Non-Annex I,,IV,,,Lower-middle,
JAM,Jamaica,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
MTQ,Martinique,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,N/A,
MSR,Montserrat,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,N/A,
PRI,Puerto Rico,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
BLM,Saint Barthélemy,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,N/A,
SXM,Sint Maarten (Dutch part),Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
KNA,St. Kitts and Nevis,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,High,
LCA,St. Lucia,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
MAF,St. Martin (French part),Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,High,
VCT,St. Vincent and the Grenadines,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,Upper middle,
TTO,Trinidad and Tobago,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Non-Annex I,,IV,,,High,
TCA,Turks and Caicos Islands,Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,,,,Territory,,N/A,,,High,
VIR,Virgin Islands (U.S.),Latin America and Caribbean,Latin America and Caribbean,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,,,Territory,,N/A,,,High,
ASM,American Samoa,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Territory,,N/A,,,Upper middle,
COK,Cook Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Non-Annex I,,V,,,N/A,
FJI,Fiji,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,,,Non-Annex I,,V,,,Upper middle,
PYF,French Polynesia,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Territory,,N/A,,,High,
GUM,Guam,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Territory,,N/A,,,High,
KIR,Kiribati,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,LDC,Non-Annex I,,V,,,Lower-middle,
MHL,Marshall Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Non-Annex I,,V,,,Upper middle,
FSM,"Micronesia, Fed. Sts.",Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Non-Annex I,,V,,,Lower-middle,
NRU,Nauru,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Non-Annex I,,V,,,High,
NCL,New Caledonia,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,,,Territory,,N/A,,,High,
NIU,Niue,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Non-Annex I,,V,,,N/A,
MNP,Northern Mariana Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Territory,,N/A,,,High,
PLW,Palau,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,,,Non-Annex I,,V,,,High,
PNG,Papua New Guinea,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,,,Non-Annex I,,V,,,Lower-middle,
PCN,Pitcairn,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,,,,Territory,,N/A,,,N/A,
WSM,Samoa,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Non-Annex I,,V,,,Lower-middle,
SLB,Solomon Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,,LDC,Non-Annex I,,V,,,Lower-middle,
TKL,Tokelau,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,,,,Territory,,N/A,,,N/A,
TON,Tonga,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,,Non-Annex I,,V,,,Upper middle,
TUV,Tuvalu,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,,LDC,Non-Annex I,,V,,,Upper middle,
UMI,United States Minor Outlying Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,,,,Territory,,N/A,,,N/A,
VUT,Vanuatu,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,,,Non-Annex I,,V,,,Lower-middle,
WLF,Wallis and Futuna Islands,Asia and developing Pacific,South-East Asia and developing Pacific,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,,,,Territory,,N/A,,,N/A,
IOT,British Indian Ocean Territory,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,,Territory,,N/A,,,N/A,
BDI,Burundi,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
COM,Comoros,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,SIDS,,LDC,Non-Annex I,,I,,,Lower-middle,
DJI,Djibouti,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Lower-middle,
ERI,Eritrea,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
ETH,Ethiopia,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
ATF,French Southern Territories,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,,Territory,,N/A,,,N/A,
KEN,Kenya,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
MDG,Madagascar,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
MWI,Malawi,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
MUS,Mauritius,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,SIDS,,,Non-Annex I,,I,,,Upper middle,
MYT,Mayotte,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,,Territory,,N/A,,,N/A,
MOZ,Mozambique,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
REU,Réunion,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,,Territory,,N/A,,,N/A,
RWA,Rwanda,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
SYC,Seychelles,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,SIDS,,,Non-Annex I,,I,,,High,
SOM,Somalia,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
SSD,South Sudan,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
UGA,Uganda,Africa,Africa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,,LLDC,LDC,Non-Annex I,,I,,,Low,
