model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Afghanistan,GDP|PPP [per capita],USD_2017/yr,2025,1486.740823668232,1484.474384883193,1486.740823668232,1486.899315890962,1491.228417746102,1486.931014335508,FALSE,FALSE,TRUE,6.754032862909071
OECD ENV-Growth 2025,Africa (R10),GDP|PPP [per capita],USD_2017/yr,2025,5188.286094516513,5188.237382461075,5188.286094516513,5188.294226425795,5188.339286069578,5188.305137343945,FALSE,FALSE,TRUE,0.10190360850265279
OECD ENV-Growth 2025,Albania,GDP|PPP [per capita],USD_2017/yr,2025,17481.4103534906,17466.87071530064,17481.4103534906,17466.87071530064,17466.87071530064,17466.87071530064,FALSE,FALSE,TRUE,14.539638189959078
OECD ENV-Growth 2025,Algeria,GDP|PPP [per capita],USD_2017/yr,2025,11625.13994929889,11625.13994929889,11625.13994929889,11625.13994929889,11625.13994929889,11625.13994929889,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Angola,GDP|PPP [per capita],USD_2017/yr,2025,5918.575652382735,5918.575652382735,5918.575652382735,5918.575652382735,5918.575652382735,5918.575652382735,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Antigua and Barbuda,GDP|PPP [per capita],USD_2017/yr,2025,24433.15704037283,24433.15704037283,24433.15704037283,24433.15704037283,24433.15704037283,24433.15704037283,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Argentina,GDP|PPP [per capita],USD_2017/yr,2025,18715.0473701419,18715.0473701419,18715.0473701419,18715.0473701419,18715.0473701419,18715.0473701419,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Armenia,GDP|PPP [per capita],USD_2017/yr,2025,18982.25832318763,18979.4893030475,18982.25832318763,18979.4893030475,18979.4893030475,18979.4893030475,FALSE,FALSE,TRUE,2.7690201401310333
OECD ENV-Growth 2025,Aruba,GDP|PPP [per capita],USD_2017/yr,2025,42301.1948529412,42301.1948529412,42301.1948529412,42301.1948529412,42301.1948529412,42301.1948529412,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Asia (R5),GDP|PPP [per capita],USD_2017/yr,2025,14203.77964123506,14203.84042185266,14203.77964123506,14203.75339894016,14203.71594586098,14203.86951961282,FALSE,FALSE,TRUE,0.1535737518388487
OECD ENV-Growth 2025,Australia,GDP|PPP [per capita],USD_2017/yr,2025,52086.5435289441,52086.5435289441,52086.5435289441,52086.5435289441,52086.5435289441,52086.5435289441,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Austria,GDP|PPP [per capita],USD_2017/yr,2025,53629.59316682035,53236.22343501059,53629.59316682035,53236.22343501059,53236.22343501059,53236.22343501059,FALSE,FALSE,TRUE,393.369731809762
OECD ENV-Growth 2025,Azerbaijan,GDP|PPP [per capita],USD_2017/yr,2025,15723.23567594293,15717.41931488807,15723.23567594293,15717.41931488807,15717.41931488807,15717.41931488807,FALSE,FALSE,TRUE,5.816361054859954
OECD ENV-Growth 2025,Bahamas,GDP|PPP [per capita],USD_2017/yr,2025,36916.06779269414,36916.06779269414,36916.06779269414,36916.06779269414,36916.06779269414,36916.06779269414,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bahrain,GDP|PPP [per capita],USD_2017/yr,2025,51588.04725538051,51588.04725538051,51588.04725538051,51588.04725538051,51588.04725538051,51588.04725538051,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bangladesh,GDP|PPP [per capita],USD_2017/yr,2025,7813.456030324527,7813.456030324527,7813.456030324527,7813.456030324527,7813.456030324527,7813.456030324527,TRUE,TRUE,TRUE,0
