model,scenario,region,variable,unit,year,iso,v20250417_gdp,v3_1,difference,difference_percentage
OECD ENV-Growth 2023,SSP1,Japan,GDP|PPP [per capita],USD_2017/yr,2025,JPN,44789.79934318169,44720.4,69.39934318168525,0.15518497862649988
OECD ENV-Growth 2023,SSP1,Taiwan,GDP|PPP [per capita],USD_2017/yr,2025,TWN,62054.119401592696,61991,63.119401592695795,0.10182026680114176
OECD ENV-Growth 2023,SSP1,Ukraine,GDP|PPP [per capita],USD_2017/yr,2025,UKR,11713.29817575138,11697,16.298175751380768,0.13933637472326896
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2045,AUS,74524.94224180217,74440.5,84.44224180217134,0.11343588745665509
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2050,AUS,80523.51353885987,80421.7,101.81353885987482,0.1265995855097254
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2055,AUS,86474.86546072,86359.9,114.96546072000638,0.13312366123629876
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2060,AUS,92593.23746691832,92470,123.23746691831911,0.13327291761470653
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2065,AUS,99001.7267984356,98878.3,123.42679843559745,0.12482698270054951
OECD ENV-Growth 2023,SSP2,Australia,GDP|PPP [per capita],USD_2017/yr,2070,AUS,105471.01174254873,105357,114.01174254872603,0.10821468203225798
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2065,BHS,61373.62217295299,61298.7,74.92217295299633,0.12222473388994602
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2070,BHS,66037.68459133522,65940.4,97.2845913352212,0.14753412374693087
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2075,BHS,71054.21879426467,70935.2,119.01879426467349,0.16778523816761423
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2080,BHS,76458.91814150084,76317.3,141.61814150083228,0.18556492630220445
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2085,BHS,82298.22341282234,82129.7,168.5234128223383,0.20519180372306034
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2090,BHS,88555.787278415,88360.3,195.48727841499203,0.22123881247007085
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2095,BHS,95247.66988749497,95018.8,228.8698874949623,0.2408680045369572
OECD ENV-Growth 2023,SSP2,Bahamas,GDP|PPP [per capita],USD_2017/yr,2100,BHS,102369.104121551,102109,260.10412155100494,0.2547318273129743
OECD ENV-Growth 2023,SSP2,Bhutan,GDP|PPP [per capita],USD_2017/yr,2080,BTN,47393.96817736726,47329.7,64.26817736725934,0.13578826269183905
OECD ENV-Growth 2023,SSP2,Bhutan,GDP|PPP [per capita],USD_2017/yr,2085,BTN,52354.37295644619,52254,100.37295644619007,0.19208664685227939
OECD ENV-Growth 2023,SSP2,Bhutan,GDP|PPP [per capita],USD_2017/yr,2090,BTN,57538.479389026186,57392,146.47938902618625,0.2552261448044784
OECD ENV-Growth 2023,SSP2,Bhutan,GDP|PPP [per capita],USD_2017/yr,2095,BTN,62977.51595200715,62771.7,205.81595200714946,0.32788016256872043
OECD ENV-Growth 2023,SSP2,Bhutan,GDP|PPP [per capita],USD_2017/yr,2100,BTN,68701.43183095808,68422,279.4318309580849,0.40839471362732005
OECD ENV-Growth 2023,SSP2,Burundi,GDP|PPP [per capita],USD_2017/yr,2080,BDI,6898.577852878139,6891.25,7.327852878139311,0.1063356122349256
OECD ENV-Growth 2023,SSP2,Burundi,GDP|PPP [per capita],USD_2017/yr,2085,BDI,8437.54657978935,8427,10.54657978935029,0.12515224622463855
OECD ENV-Growth 2023,SSP2,Burundi,GDP|PPP [per capita],USD_2017/yr,2090,BDI,10254.700038792038,10240.1,14.600038792037594,0.14257711147388788
OECD ENV-Growth 2023,SSP2,Burundi,GDP|PPP [per capita],USD_2017/yr,2095,BDI,12381.05478485909,12360.2,20.854784859089705,0.16872530265764069
OECD ENV-Growth 2023,SSP2,Burundi,GDP|PPP [per capita],USD_2017/yr,2100,BDI,14850.325630448746,14819.2,31.12563044874514,0.21003583492189282
OECD ENV-Growth 2023,SSP2,Canada,GDP|PPP [per capita],USD_2017/yr,2055,CAN,78613.31715082894,78529.1,84.21715082893206,0.10724323954932893
OECD ENV-Growth 2023,SSP2,Canada,GDP|PPP [per capita],USD_2017/yr,2060,CAN,83901.35202445077,83806.2,95.15202445077011,0.11353816835839127
OECD ENV-Growth 2023,SSP2,Canada,GDP|PPP [per capita],USD_2017/yr,2065,CAN,89338.45868335612,89238.7,99.75868335612176,0.11178858875815288
OECD ENV-Growth 2023,SSP2,Canada,GDP|PPP [per capita],USD_2017/yr,2070,CAN,94753.95960472414,94658.2,95.75960472413863,0.10116355975936435
OECD ENV-Growth 2023,SSP2,China,GDP|PPP [per capita],USD_2017/yr,2085,CHN,76032.44198655055,75952,80.44198655054788,0.10591161068905083
OECD ENV-Growth 2023,SSP2,China,GDP|PPP [per capita],USD_2017/yr,2090,CHN,81094.36211955709,81003.9,90.46211955709441,0.11167625207810293
OECD ENV-Growth 2023,SSP2,China,GDP|PPP [per capita],USD_2017/yr,2095,CHN,86184.77316978275,86086.5,98.27316978275485,0.11415630764725579
OECD ENV-Growth 2023,SSP2,China,GDP|PPP [per capita],USD_2017/yr,2100,CHN,91244.663356725825,91139.5,105.163356725825,0.11538724342993432
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2070,DOM,69098.2651899833,69012.9,85.36518998330575,0.12369454114130222
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2075,DOM,75643.3423288418,75530.7,112.64232884180092,0.14913449609470178
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2080,DOM,82384.35986884746,82266.9,117.45986884746526,0.14277901421770514
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2085,DOM,89309.81722966958,89188,121.81722966958478,0.13658477560836074
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2090,DOM,96534.84234115384,96368.4,166.4423411538446,0.17271464624694882
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2095,DOM,104068.8123705864,103852,216.81237058639817,0.20877052977929955
OECD ENV-Growth 2023,SSP2,Dominican Republic,GDP|PPP [per capita],USD_2017/yr,2100,DOM,112001.62877472944,111732,269.6287747294409,0.2413174155384679
OECD ENV-Growth 2023,SSP2,Iraq,GDP|PPP [per capita],USD_2017/yr,2030,IRQ,9951.170597305658,9900.9,50.27059730565816,0.5077376531997915
OECD ENV-Growth 2023,SSP2,Iraq,GDP|PPP [per capita],USD_2017/yr,2035,IRQ,11791.205484510085,11731.5,59.705484510084716,0.5089330819595509
